lab,loinc_code
%_MACROP,Not mapped
%ABI,Not mapped
%ABR,Not Mapped
%AGI,Not mapped
%AO,Not mapped
%AS,Not Mapped
%CM,Not Mapped
%CT,Not Mapped
%DBS,Not mapped
%DIG,Not mapped
%DU,Not mapped
%ELU,Not mapped
%PI,Not mapped
%ST,Not Mapped
%TS,Not Mapped
%UDIV,Not Mapped
%UN,Not Mapped
%UO,Not mapped
%XM,Not Mapped
CSFS18,Not mapped
CSFT18,Not mapped
CSFV18,17607-3
CSFW14,26465-5
CSFW24,26465-5
CSFW26,26465-5
CSG14,2342-4
CSG15,2342-4
CSG16,2342-4
CSGL25,2342-4
CSIT17,Not mapped
CSLD14,2528-8
CSLY15,26479-6
CSLY16,26479-6
CSLY25,26475-4
CSMKQ,Not mapped
CSMO15,Not mapped
CSMO16,Not mapped
CSMO25,35026-4
CSNE15,26512-4
CSNE16,26512-4
CSNE25,26500-9
CSNT25,26500-9
CSO15,Not mapped
CSOC25,51586-6
CSP14,2880-3
CSP15,2880-3
CSP16,2880-3
CSPORQ,Not mapped
CSR15,Not mapped
CSR16,Not mapped
CSSC15,Not mapped
CSSC16,10335-8
CSTP25,2880-3
CSUP27,Not mapped
CSVL15,Not mapped
CSVL16,Not mapped
CSW15,26465-5
CSW16,26465-5
CT_ADP,5992-3
CTAC3,Not mapped
CTAD15,5992-3
CTAD23,5992-3
CTAD25,5992-3
CTAD28,5992-3
CTADP,5992-3
CTALQ,Not mapped
CTAURN,26614-8
CTDNAP,Not mapped
CTDNAS,Not mapped
CTEP15,24471-5
CTEP16,24471-5
CTEP17,24471-5
CTEP23,24471-5
CTEP25,24471-5
CTEP28,24471-5
CTEPI,24471-5
CTHB15,55782-7
CTHB16,55782-7
CTHREO,22643-1
CTIGA,6918-7
CTIGG,6919-5
CTIGM,6920-3
CTIM18,Not mapped
CTNC23,Not mapped
CTP15,Not mapped
CTP16,Not mapped
CTPI28,Not mapped
CTRNAQ,43304-5
CTRYPT,26602-3
CTST27,Not mapped
CTUB27,Not mapped
CTV25,17607-3
CTXG1Q,29904-0
CTYROS,22642-3
CU,5631-7
CUBATQ,21219-1
CUCR,Not mapped
CUNI27,Not mapped
CUQ,5631-7
CURDMQ,Not mapped
CV2VQ,Not mapped
CVALIN,22649-8
CVCB17,Not mapped
CVCT17,Not mapped
CVGC,5124-3
CVIAQ,Not mapped
CVMC,5126-8
CVOL23,17607-3
CVOL27,17607-3
CWBC,26465-5
CWBC23,26465-5
CWBC25,26465-5
CWNCUL,Not mapped
CWNIGG,Not mapped
CWNIGM,Not mapped
CWNPCR,Not mapped
CXA10,Not mapped
CXA16,Not mapped
CXA2,Not mapped
CXA4,Not mapped
CXA7,Not mapped
CXA9,Not mapped
CXB1,Not mapped
CXB2,Not mapped
CXB3,Not mapped
CXB4,Not mapped
CXB5,Not mapped
CXB6,Not mapped
CXCQ,Not mapped
CXCRQ,Not mapped
CXME27,Not mapped
CXMI27,Not mapped
CYCITQ,33935-8
CYCL25,Not mapped
CYCL28,Not mapped
CYIGGQ,6374-3
CYMBAL,Not mapped
CYMONO,3520-4
CYSFMD,Not mapped
CYSTA,26607-2
CYSTAQ,33863-2
CYSTFC,Not mapped
CYSTHQ,26607-2
CYSTN,22672-0
CYT24D,Not mapped
CYT24L,Not mapped
CYT26C,Not mapped
CYT26D,Not mapped
CYT26E,Not mapped
CYT26F,Not mapped
CYT26L,Not mapped
CYTO12,Not mapped
CYTO25,Not mapped
CYTO5,Not mapped
CYTO7,Not mapped
CYTO8,Not mapped
CYTOAB,35279-9
D9THCQ,3528-7
DABLEV,Not mapped
DAMID,6774-4
DAMIDQ,6774-4
DAPC,Not mapped
DB14,Not mapped
DBIL,1968-7
DBIL14,1968-7
DBIL15,1968-7
DBIL16,1968-7
DBIL17,1968-7
DBIL18,1968-7
DBIL23,1968-7
DBIL24,1968-7
DBIL25,1968-7
DBIL26,1968-7
DBIL27,1968-7
DBIL28,1968-7
DBILI,1968-7
DBILI3,1968-7
DBX14,Not mapped
DC101Q,30327-1
DC10Q,30327-1
DC121Q,30332-1
DC12Q,30331-3
DC3,Not mapped
DC3GRD,Not mapped
DCLIMQ,3536-0
DCM25,Not mapped
DCMB14,Not mapped
DCOM18,Not mapped
DCOM28,Not mapped
DCORQ,Not mapped
DCQ,25093-6
DD14,15179-5
DDIM,48065-7
DDIM15,48065-7
DDIM16,48065-7
DDIM17,48065-7
DDIM18,Not mapped
DDIM23,48065-7
DDIM25,48065-7
DDIM26,48065-7
DDIM27,48065-7
DDIM28,48065-7
DDIM3,48065-7
DDIMQUAN,48065-7
DDIT24,48065-7
DDIV24,48065-7
DDMR,48065-7
DDMRP,48065-7
DDQ117,48065-7
DDQ128,48065-7
DEAC10,Not mapped
DECC10,30327-1
DECCAR,Not mapped
DEFGQ,23991-3
DEFMQ,23992-1
DEOACQ,30520-1
DESIQ,3533-7
DESPQ,3531-1
DESPQQ,3531-1
DEV15,Not mapped
DEV16,Not mapped
DEXAQ,14062-4
DFAR24,Not mapped
DFAS24,Not mapped
DGCONF,Not mapped
DHAC22,35174-2
DHEA,2191-5
DHEAS,2191-5
DHEASQ,2191-5
DHTEST,1848-1
DIAFT4,6892-4
DIAZPM,3548-5
DIAZPQ,Not mapped
DIBNUQ,39354-6
DICOMM,8264-4
DICQ,Not mapped
DIFCOM,Not mapped
DIFFC,Not mapped
DIG,10535-3
DIG14,10535-3
DIG15,10535-3
DIG16,10535-3
DIG17,10535-3
DIG18,10535-3
DIG23,10535-3
DIG24,10535-3
DIG25,10535-3
DIG26,10535-3
DIG27,10535-3
DIG28,10535-3
DIG3,10535-3
DIGITOX,10535-3
DIGTOQ,10535-3
DIGX,10535-3
DIHEAS,2191-5
DIL,3968-5
DILA17,3968-5
DILAQ,3968-5
DILTQ,6898-1
DIMPH,Not mapped
DIMQ,Not mapped
DIND14,Not mapped
DIPTOX,5116-9
DISPO,Not mapped
DIZQ,Not mapped
DLACT,Not mapped
DLBI14,1968-7
DLBIL,1968-7
DLBILI,1968-7
DLDC1Q,18262-6
DLDL15,Not mapped
DNA24,Not mapped
DNA25,72496-3
DNABCQ,6457-6
DNACRT,Not mapped
DNAQ,5130-0
DNAT25,Not mapped
DOAC18,Not mapped
DOAC22,30194-5
DOB3Q,21112-8
DOCC22,35160-1
DOCQ,Not mapped
DODC12,30331-3
DODCAR,30332-1
DODEQ,25097-7
DOG,6099-6
DOG1Q,Not mapped
DOGD,6098-8
DOGQ,6098-8
DOHL,Not mapped
DOMQ,2216-0
DOPAMN,2216-0
DOPAMQ,2216-0
DOPAQ,Not mapped
DOSA23,Not mapped
DOSC23,4152-5
DOSD23,4222-6
DOSL23,3719-2
DOSN23,Not mapped
DOSP23,Not mapped
DOSS23,Not mapped
DOST23,Not mapped
DOSV23,4458-6
DOXPQ,Not mapped
DOXPTQ,Not mapped
DOXQ,Not mapped
DPAC22,35181-7
DPC22,35180-9
DPDGQ,45284-7
DRMIQ,Not mapped
DRMPH,6096-2
DRMPHF,6095-4
DRMPHQ,6096-2
DRSQ,Not mapped
DRVMQ,Not mapped
DRVMXQ,Not mapped
DRVSQ,6303-2
DRVTSQ,6303-2
DRVV,6303-2
DRVVMX,34569-4
DS,Not mapped
DSAT15,2708-6
DSAT16,2708-6
DSCO26,Not mapped
DSDNA,Not mapped
DSDNAQ,Not mapped
DSM1Q,Not mapped
DSM2Q,Not mapped
DSM4Q,Not mapped
DSMQ,Not mapped
DSU,Not mapped
DTAC22,35182-5
DTTMQ,Not mapped
DTYP15,49024-3
DTYP16,49024-3
DUSTQ,7425-2
DUT,Not mapped
DVLQ,Not mapped
DVNFXN,9628-9
DXCOD,Not mapped
E11Q,6708-2
E1ONE,2258-2
E2,2243-4
E21Q,Not mapped
E23,Not mapped
E2OL,Not mapped
E2PCQ,14960-9
E30Q,6392-5
E4Q,5143-3
E7Q,6922-9
E9Q,5147-4
EA1C,4548-4
EAG26,27353-2
EBNA,30083-0
EBNAQ,30083-0
EBND27,Not mapped
EBSO27,Not mapped
EBV14,32585-2
EBVCMD,34593-4
EBVD2Q,5005-4
EBVDQ,Not mapped
EBVEAQ,Not mapped
EBVG,5157-3
EBVGGQ,50969-5
EBVGQ,5157-3
EBVM,5159-9
EBVMQ,5159-9
ECHR27,Not mapped
ECIGG,Not mapped
ECIGM,Not mapped
ECOL27,Not mapped
ECOM27,Not mapped
ECSQ,Not mapped
ECT11,7865-9
ECT30,6393-3
ECT4,7869-1
ECT7,11601-2
ECT9,7872-5
EEEI,Not mapped
EEEQ,Not mapped
EEGC,10897-7
EEGQ,10896-9
EEIC,Not mapped
EEIG,10896-9
EEIM,10898-5
EEMC,10899-3
EEMQ,10898-5
EEOS27,Not mapped
EGFMQ,Not mapped
EGFR25,33914-3
EGFRT,Not mapped
EGGWHT,6106-9
EGIGGQ,47308-2
EGLB,Not mapped
EGMAQ,6114-3
EGWTQ,6106-9
EGYKQ,6107-7
EHAQ,Not mapped
EHGBA1,Not mapped
EHIS1Q,9522-4
EHISTA,7880-8
EHVS,Not mapped
EJQ,45149-2
ELLIP,11274-8
ELM,6109-3
ELMQ,6109-3
ELUG1X,Not mapped
ELUP2X,Not mapped
ELYM27,Not mapped
EMAC27,Not mapped
EMBG,27353-2
EMCLQ,15704-0
EMES27,Not mapped
EMON27,Not mapped
ENDAQ,Not mapped
ENDOMA,35285-6
ENDOMQ,31017-7
ENDP24,Not mapped
ENTCOM,Not mapped
ENTCQ,5843-8
ENTVQ,29591-5
ENUC27,Not mapped
EO,711-2
EO%,26450-7
EO14,26450-7
EO15,26450-7
EO16,714-6
EO17,26450-7
EO28,26450-7
EOA23,711-2
EOAB14,711-2
EOBA26,Not mapped
EOCT15,26449-9
EOCT16,26449-9
EOD,711-2
EOP23,26450-7
EOPOL,Not mapped
EOS,26450-7
EOS18,26450-7
EOS21,26450-7
EOS24,26450-7
EOS25,26450-7
EOS3,26450-7
EOSBF,Not mapped
EOSC25,Not mapped
EOSCT,711-2
EOSCTRU,Not mapped
EOSI17,26450-7
EOSQ,Not mapped
EOSU24,Not mapped
EOSU27,Not mapped
EPAC20,35173-4
EPAG25,Not mapped
EPAP15,Not mapped
EPAP16,Not mapped
EPAP17,Not mapped
EPAP18,Not mapped
EPCA25,5786-9
EPI18,5787-7
EPI24,5787-7
EPICU,5786-9
EPIN,Not mapped
EPINEQ,Not mapped
EPINP,Not mapped
EPINPQ,Not mapped
EPINQ,Not mapped
EPIQ,Not mapped
EPIRE,26052-1
EPIS,11277-1
EPIS14,11277-1
EPISQ,11277-1
EPIT25,30089-7
EPITR,30089-7
EPIU,5787-7
EPNQ,Not mapped
EPOQ,15061-5
EPPI24,Not mapped
EPPI25,Not mapped
EPPI26,Not mapped
EPU124,Not mapped
EQGQ,10897-7
EQMQ,10898-5
ERBC27,Not mapped
ERMA24,Not mapped
ERYQ,Not mapped
ERYTH,Not mapped
ESCIT,Not mapped
ESEG27,Not mapped
ESR,4537-7
ESR14,4537-7
ESR15,4537-7
ESR16,4537-7
ESR27,4537-7
ESR28,4537-7
ESRA23,4537-7
ESRS21,4537-7
ESRW3,4537-7
ESTOL,25907-7
ESTOOQ,25907-7
ESTQ,Not mapped
ET11C,Not mapped
ET30C,Not mapped
ET4C,Not mapped
ET7C,Not mapped
ET9C,Not mapped
ETAMQ,Not mapped
ETCQ,Not mapped
ETHQ,Not mapped
ETHY1Q,Not mapped
ETHYGL,5646-5
ETOH,5640-8
ETOH14,5640-8
ETOHA,26608-0
ETOHQN,5640-8
ETOHSC,Not mapped
ETOHUQ,5645-7
ETOP23,46983-3
ETOS23,5640-8
ETRP,10839-9
ETRP14,10839-9
ETRP24,10839-9
ETYP27,Not mapped
EUNI27,Not mapped
EVER,50544-6
F,5649-9
F13AG,Not mapped
F13SC2,Not mapped
FA1ANT,9407-8
FA1AQ,9407-8
FA2AQ,3289-6
FA7Q,3198-9
FA8Q,3209-4
FAC2Q,Not mapped
FAC5LEID,Not mapped
FACINT,Not mapped
FACVLQ,21667-1
FACVM,21667-1
FACVQ,21667-1
FACXAQ,3218-5
FAL27,1747-5
FALB14,1747-5
FALB17,1747-5
FALB18,1747-5
FALB24,1747-5
FALB26,1747-5
FALB28,1747-5
FALP24,Not mapped
FAM14,1795-4
FAM25,1795-4
FAM27,1795-4
FAMC17,Not mapped
FAMLQ,Not mapped
FAMY17,1795-4
FAMY18,1795-4
FAMY24,1795-4
FAMY26,1795-4
FAMY28,1795-4
FANA25,42254-3
FANT25,Not mapped
FAPC17,10333-3
FAPC28,10333-3
FAPP17,10333-3
FAPP25,Not mapped
FAPP28,Not mapped
FAPR24,Not mapped
FAT,10753-2
FATM17,Not mapped
FATSQ,42668-4
FAVAQ,Not mapped
FAXCON,Not mapped
FAXIQ,3226-8
FAXNUM,Not mapped
FAXPHY,Not mapped
FBAC17,Not mapped
FBC17,Not mapped
FBG,Not mapped
FBI27,1974-5
FBIL24,1974-5
FBIL25,1974-5
FBIR24,Not mapped
FBND27,13354-6
FBND28,13354-6
FBQE27,Not mapped
FBS15,1558-6
FBS16,1558-6
FBSO27,28543-7
FBSO28,28543-7
FBUN24,Not mapped
FCARBQ,Not mapped
FCARN2,14286-9
FCH17,14441-0
FCHO18,Not mapped
FCHO24,Not mapped
FCHO26,Not mapped
FCHQ,Not mapped
FCHR27,9335-1
FCL18,Not mapped
FCL1Q,2076-8
FCL24,Not mapped
FCLR25,6824-7
FCLRAN,Not mapped
FCOL25,58381-5
FCOL27,58381-5
FCOM14,Not mapped
FCOM27,Not mapped
FCOM28,Not mapped
FCOM3,Not mapped
FCQ,32760-1
FCR27,12190-5
FCRE14,12190-5
FCRE17,12190-5
FCRE24,12190-5
FCRE25,12190-5
FCRE28,12190-5
FCRS17,5781-0
FCRT18,12190-5
FCRT26,12190-5
FCRTSQ,12190-5
FCRY26,Not mapped
FCSF24,Not mapped
FCSH24,Not mapped
FCT27,Not mapped
FD14,3562-6
FDIGX,3562-6
FDP14,29263-1
FDP15,30226-5
FDP16,30226-5
FDP17,Not mapped
FDP18,Not mapped
FDP28,Not mapped
FDPP,Not mapped
FDX14,Not mapped
FE,2498-4
FE14,2498-4
FE17,2498-4
FE24,2498-4
FE25,2498-4
FE26,2498-4
FE27,2498-4
FE2Q,2240-0
FEBLD3,Not mapped
FEHB3,Not mapped
FENTCA,3637-6
FENTQ,3636-8
FEO17,26452-3
FEO28,26452-3
FEOC17,26451-5
FEOS18,14344-6
FEOS24,26452-3
FEOS25,26452-3
FEOS27,26452-3
FEQ,2498-4
FER,2276-4
FERITN,2276-4
FERITQ,2276-4
FERR14,2276-4
FERR15,2276-4
FERR16,2276-4
FERR17,2276-4
FERR18,2276-4
FERR23,2276-4
FERR24,2276-4
FERR25,2276-4
FERR26,2276-4
FERR27,2276-4
FET,Not mapped
FET23,14276-0
FETFN3,20404-0
FFAT1Q,Not mapped
FFATQ,Not mapped
FFQLQ,10753-2
FGL24,2344-0
FGL27,2344-0
FGLU14,2344-0
FGLU17,2344-0
FGLU18,2344-0
FGLU25,2344-0
FGLU26,2344-0
FGLU28,2344-0
FHBCAB,13952-7
FHBEAB,13953-5
FHBEAG,13954-3
FHBSAB,16935-9
FHBSAG,5196-1
FHC27,Not mapped
FHCP,Not mapped
FHCT24,11153-4
FHCVAB,16128-1
FHIGAQ,23827-9
FHIGGQ,23828-7
FHMM17,Not mapped
FIACTQ,Not mapped
FIB117,3255-7
FIB128,3255-7
FIB14,3255-7
FIB15,3255-7
FIB16,3255-7
FIB23,3255-7
FIB24,3255-7
FIB25,3255-7
FIB26,3255-7
FIB27,3255-7
FIB3,3255-7
FIBMQ,40702-3
FIBR,3255-7
FIBR18,3255-7
FIBRAG,42772-4
FIBRP,3255-7
FIBRQ,Not mapped
FIDPQ,29263-1
FIG1SQ,32644-7
FIG1TQ,9708-9
FIG2SQ,31314-8
FIG2TQ,9709-7
FII,3289-6
FIM1SQ,32645-4
FIM1TQ,9710-5
FIM2SQ,31315-5
FIM2TQ,9711-3
FIN217,Not mapped
FIND17,Not mapped
FINL1Q,Not mapped
FINL3Q,5859-4
FINL4Q,6317-2
FINRTQ,21262-1
FINSQ,6901-3
FIO214,3150-0
FIO215,3150-0
FIO216,3150-0
FIO217,19993-5
FIO218,3150-0
FIO223,3150-0
FIO224,50991-9
FIO226,19993-5
FIO227,3150-0
FIO2P,50984-4
FIO2VP,50986-9
FIOX27,Not mapped
FIRPTQ,42805-2
FISH14,Not mapped
FISHEQ,Not mapped
FISHPQ,34503-3
FISHQ,21821-4
FISP14,Not mapped
FIV224,Not mapped
FIX,3187-2
FIXAB,Not mapped
FIXQ,3187-2
FK1Q,15202-5
FK506,11253-2
FK56Q,11253-2
FK5Q,11253-2
FKAPPA,36916-5
FKAPQ,36916-5
FKLQ,Not mapped
FKLRQ,Not mapped
FKRAN,Not mapped
FKWB,11253-2
FL125,Not mapped
FLAC24,Not mapped
FLAMDA,33944-0
FLAMQ,Not mapped
FLAP3,9335-1
FLBA3,Not mapped
FLBAGQ,Not mapped
FLBAMQ,6899-9
FLBC24,Not mapped
FLBD3,Not mapped
FLCM26,8265-1
FLCNDQ,3638-4
FLCR14,6824-7
FLD14,14725-6
FLD17,14725-6
FLD18,14725-6
FLD27,2529-6
FLD7,14725-6
FLDH14,2529-6
FLDH17,2529-6
FLDH18,2529-6
FLDH24,2529-6
FLDH25,2529-6
FLDH26,2529-6
FLDH28,2529-6
FLDIQ,Not mapped
FLEC24,Not mapped
FLEO14,26452-3
FLEO3,26452-3
FLIN18,Not mapped
FLIP24,Not mapped
FLLY14,11031-2
FLLYM3,11031-2
FLMN14,26487-9
FLMO14,26487-9
FLMO3,26487-9
FLMON3,26487-9
FLMONQ,26487-9
FLNRB3,26460-6
FLO17,69052-9
FLO3,Not mapped
FLORQ,69052-9
FLOT14,76350-8
FLOT18,Not mapped
FLOT3,76350-8
FLOW,Not mapped
FLOW28,Not mapped
FLPH24,2748-2
FLPH27,2748-2
FLPY14,26513-2
FLRBC3,26455-6
FLRC14,Not mapped
FLRZPM,Not mapped
FLSEG3,30453-5
FLSEGQ,30453-5
FLSUP3,Not mapped
FLTY14,14725-6
FLTY3,14725-6
FLTYPH,14725-6
FLTYPHOL,14725-6
FLTYPP,14725-6
FLUAQ,Not mapped
FLUAVQ,5229-0
FLUB1Q,Not mapped
FLUBVQ,5230-8
FLUCAQ,48310-7
FLUCBQ,38382-8
FLUDTQ,Not mapped
FLUDTY,47938-6
FLUTQ,Not mapped
FLUTYP,14725-6
FLWBC3,26466-3
FLWBCQ,26466-3
FLWC14,26466-3
FLWC17,26466-3
FLWC28,26466-3
FLXTNQ,3644-2
FLYM17,26479-6
FLYM18,26481-2
FLYM24,11031-2
FLYM25,11031-2
FLYM27,11031-2
FLYM28,26479-6
FLYP17,737-7
FLYP28,Not mapped
FM17,12234-1
FMAC17,30426-1
FMAC27,30427-9
FMAS17,Not mapped
FMB24,Not mapped
FMES25,17257-7
FMES27,17257-7
FMH27,Not mapped
FMN28,26493-7
FMNR24,26493-7
FMOC17,26486-1
FMOC28,Not mapped
FMON17,26487-9
FMON18,17835-0
FMON1Q,6121-8
FMON24,26487-9
FMON25,26487-9
FMON27,26487-9
FMON28,26487-9
FMONQ,15722-2
FMOR14,Not mapped
FMYE27,Not mapped
FNA18,Not mapped
FNA1Q,15207-4
FNA24,Not mapped
FNARAN,Not mapped
FNEU18,30455-0
FNEU25,Not mapped
FNGRCAST,Not mapped
FNLM24,Not mapped
FNLR24,Not mapped
FNRC24,Not mapped
FNTQ,Not mapped
FNUC27,Not mapped
FOC25,51586-6
FOCB25,2335-8
FOL,2284-8
FOL14,2284-8
FOL15,2284-8
FOL16,2284-8
FOL17,2284-8
FOL23,2284-8
FOL24,2284-8
FOL25,2284-8
FOL26,2284-8
FOL27,2284-8
FOLATE,2284-8
FOLICQ,2284-8
FOLRBC,2283-0
FONQ,Not mapped
FORB1Q,2283-0
FORMIC,2292-1
FOS27,Not mapped
FOSRAN,Not mapped
FOTC17,30468-3
FOTH28,76350-8
FP05Q,Not mapped
FP100Q,Not mapped
FP10Q,Not mapped
FPBRB,3951-1
FPBRBL,3951-1
FPH14,2748-2
FPH17,2748-2
FPH18,2748-2
FPH25,2748-2
FPH26,2748-2
FPH28,2748-2
FPHENQ,Not mapped
FPHQ,Not mapped
FPLM27,Not mapped
FPMN24,26513-2
FPNU27,Not mapped
FPRO27,Not mapped
FPROLQ,42607-2
FPSQ,Not mapped
FPTN,3969-3
FPTNQ,3969-3
FPTNX,3969-3
FRATIO,48378-4
FRBC17,26454-9
FRBC25,26455-6
FRBC26,26455-6
FRBC27,26455-6
FRBC28,26454-9
FRED17,26455-6
FRED28,26455-6
FREDQ,32211-5
FRET3Q,3951-0
FRET4,3024-7
FRET4Q,3024-7
FRF25,Not mapped
FRFATQ,15066-4
FRFT25,Not mapped
FRKAQ,36916-5
FRLAQ,33944-0
FRNA15,49135-7
FRNA16,49135-7
FRT3Q,Not mapped
FRT4D,2991-8
FRTEST,2991-8
FRTEST%,15432-8
FRTSTQ,Not mapped
FRTUAB,7888-1
FRTUQ,7888-1
FRUAMQ,15069-8
FRUCT,Not mapped
FS27,Not mapped
FSEG17,26512-4
FSEG27,30453-5
FSEG28,Not mapped
FSES17,30453-5
FSES28,30453-5
FSG27,2964-5
FSH,15067-2
FSH24,15067-2
FSH25,15067-2
FSH3,15067-2
FSHORM,15067-2
FSHQ,15067-2
FSHX2,Not mapped
FSOR24,47938-6
FSP,Not mapped
FSP25,Not mapped
FSP27,Not mapped
FSPG14,2964-5
FSPG17,2964-5
FSPG18,35414-2
FSPG24,2964-5
FSPG25,35414-2
FSPG26,2964-5
FSPG28,2964-5
FSQE27,Not mapped
FSRC24,Not mapped
FSRC28,47938-6
FSUC17,Not mapped
FSUC28,Not mapped
FSUP17,Not mapped
FT3,3051-0
FT315,3051-0
FT316,3051-0
FT324,3051-0
FT325,3051-0
FT4,3024-7
FT414,3024-7
FT415,3024-7
FT416,3024-7
FT417,3024-7
FT424,3024-7
FT425,3024-7
FT426,3024-7
FT427,3024-7
FT428,3024-7
FT43,3024-7
FT4D,3024-7
FTAABQ,9826-9
FTAL27,Not mapped
FTAM14,Not mapped
FTAM27,Not mapped
FTAQ,5393-4
FTBI27,Not mapped
FTCC25,55793-4
FTCR27,Not mapped
FTGL27,Not mapped
FTHC27,Not mapped
FTI,32215-6
FTI15,32215-6
FTI16,32215-6
FTIQ,32215-6
FTIS17,Not mapped
FTLD27,Not mapped
FTOS27,Not mapped
FTP14,1747-5
FTP17,1747-5
FTP18,1747-5
FTP24,1747-5
FTP25,1747-5
FTP26,1747-5
FTP27,1747-5
FTP28,1747-5
FTPH27,Not mapped
FTR17,12228-3
FTRESQ,Not mapped
FTRG18,12228-3
FTRG25,12228-3
FTRG26,12228-3
FTRI24,12228-3
FTSG27,Not mapped
FTTP27,Not mapped
FTUA27,Not mapped
FTUR27,Not mapped
FTY1,47938-6
FTYP25,47938-6
FTYP26,47938-6
FTYP27,47938-6
FUA27,Not mapped
FUKOHQ,Not mapped
FUMQ,25101-7
FUNC24,Not mapped
FUNI27,Not mapped
FUNQ,42176-8
FV,3195-5
FVCAMB,Not mapped
FVHR2,Not mapped
FVII,3199-7
FVIII,3210-2
FVMUT,Not mapped
FWBC17,26465-5
FWBC24,26466-3
FWBC25,26466-3
FWBC26,26466-3
FWBC28,26465-5
FX,3218-5
FXA27,Not mapped
FXCHR,3219-3
FXI,3226-8
FXII,3232-6
FXIIIA,27815-0
FXIIIS,Not mapped
FXIIQ,3232-6
FXLH27,Not mapped
G1Q,Not mapped
G65ABQ,Not mapped
G6PD,32546-4
G6PDQ,32546-4
GABA,26609-8
GABAQ,Not mapped
GABBC,Not mapped
GABPEQ,Not mapped
GABQ,Not mapped
GAD65Q,13926-1
GAL3S,Not mapped
GALAQ,1813-5
GALASY,10970-2
GAME25,Not mapped
GAMM%,Not mapped
GAMM26,Not mapped
GAMMA,2874-6
GAMMAGLO,13995-6
GAMME,13983-2
GAMP25,Not mapped
GARLIC,Not mapped
GAS15,Not mapped
GAS16,Not mapped
GASB14,Not mapped
GASN15,Not mapped
GASN16,Not mapped
GASP15,Not mapped
GASP16,Not mapped
GASQ,Not mapped
GAST28,Not mapped
GASTBL,Not mapped
GASTQ,Not mapped
GASTRN,2333-3
GBLD17,2334-1
GBLD25,2334-1
GBM,59394-7
GBSS,Not mapped
GC5Q,30349-5
GC65C,Not mapped
GCAC3,Not mapped
GCDN1Q,Not mapped
GCELLQ,21172-2
GCELQ,Not mapped
GCPEQ,13977-4
GD1BQ,13662-2
GD1GQ,21283-7
GD1MQ,21282-9
GD1Q,13661-4
GD21Q,Not mapped
GD65A,Not mapped
GD65AC,42501-7
GENP14,3663-2
GENP18,3663-2
GENP23,3663-2
GENP24,3663-2
GENP25,3663-2
GENP26,3663-2
GENP27,3663-2
GENP28,3663-2
GENP3,3663-2
GENPQ,Not mapped
GENR14,3664-0
GENR18,3664-0
GENR23,3664-0
GENR24,3664-0
GENR25,3664-0
GENR26,3664-0
GENR27,3664-0
GENR28,3664-0
GENR3,3664-0
GENRQ,3664-0
GENT14,3665-7
GENT18,3665-7
GENT23,3665-7
GENT24,3665-7
GENT25,3665-7
GENT26,3665-7
GENT27,3665-7
GENT28,3665-7
GENTQ,3665-7
GENTR,3664-0
GENTX2,Not mapped
GEP15,Not mapped
GEP16,Not mapped
GEPB14,Not mapped
GET15,Not mapped
GET16,Not mapped
GFR17,33914-3
GFR18,33914-3
GFR2,33914-3
GFRA15,33914-3
GFRA16,33914-3
GFRA21,33914-3
GFRA23,33914-3
GFRA24,33914-3
GFRA25,33914-3
GFRA26,33914-3
GFRA27,33914-3
GFRA28,33914-3
GFRA3,33914-3
GFRC24,33914-3
GFRC26,33914-3
GFRCQ,Not mapped
GFRCYC,50210-4
GFRE,33914-3
GFRE14,33914-3
GFREAQ,Not mapped
GFREQ,Not mapped
GFRN15,33914-3
GFRN16,33914-3
GFRN21,Not mapped
GFRN23,33914-3
GFRN3,33914-3
GFRO24,33914-3
GFRO25,33914-3
GFRO26,33914-3
GFRO27,33914-3
GFRO28,33914-3
GGT,2324-2
GGT15,2324-2
GGT16,2324-2
GGT23,2324-2
GGT24,2324-2
GGT25,2324-2
GGT26,2324-2
GGTP,2324-2
GGTP14,2324-2
GGTP17,2324-2
GGTP18,2324-2
GGTP27,2324-2
GGTP28,2324-2
GGTP3,2324-2
GH24,2963-7
GHBQ,28044-6
GHBTRQ,Not mapped
GHBTU,Not mapped
GHQ,2963-7
GIA24,Not mapped
GIAAG,Not mapped
GLABAQ,Not mapped
GLAQ,9524-0
GLBG14,2339-0
GLCOSE,Not mapped
GLF24,Not mapped
GLF26,Not mapped
GLF27,Not mapped
GLIADINI,Not mapped
GLIAQ,20495-8
GLIBQ,Not mapped
GLIC18,35163-5
GLIC25,Not mapped
GLIDNA,20495-8
GLIDNG,20496-6
GLIGQ,20496-6
GLIME,Not mapped
GLIMPI,40465-7
GLIPI,Not mapped
GLIPIZ,10539-5
GLIPZ,Not mapped
GLISTA,2339-0
GLOB24,10834-0
GLOB26,10834-0
GLOB27,10834-0
GLQ,25106-6
GLTMC,20642-5
GLTMCQ,20642-5
GLTMN,20643-3
GLTMNQ,20643-3
GLU,2345-7
GLU125,Not mapped
GLU14,2345-7
GLU15,2345-7
GLU16,2345-7
GLU17,2345-7
GLU18,2345-7
GLU21,2345-7
GLU225,Not mapped
GLU23,2345-7
GLU24,2345-7
GLU25,2345-7
GLU26,2345-7
GLU28,2345-7
GLUA18,41651-1
GLUBED,41653-7
GLUBFT,2344-0
GLUC3,2345-7
GLUCAR,30349-5
GLUCGN,2338-2
GLUCI3,41653-7
