lab,loinc_code
%_MACROP,Not mapped
%ABI,Not mapped
%ABR,Not Mapped
%AGI,Not mapped
%AO,Not mapped
%AS,Not Mapped
%CM,Not Mapped
%CT,Not Mapped
%DBS,Not mapped
%DIG,Not mapped
%DU,Not mapped
%ELU,Not mapped
%PI,Not mapped
%ST,Not Mapped
%TS,Not Mapped
%UDIV,Not Mapped
%UN,Not Mapped
%UO,Not mapped
%XM,Not Mapped
ALPH1,2865-4
ALPH1%,13978-2
ALPH1S,Not mapped
ALPH2,2868-8
ALPH2%,13981-6
ALPHA1GL,13990-7
ALPHA2GL,13993-1
ALPHAA,Not mapped
ALPRAQ,1874-7
ALPRZ,Not mapped
ALRGT,Not mapped
ALRGV,Not mapped
ALSMP,Not mapped
ALT,1742-6
ALT14,1742-6
ALT17,35503-2
ALT18,35503-2
ALT1Q,Not mapped
ALT21,1742-6
ALT24,1742-6
ALT25,1742-6
ALT26,1742-6
ALT27,1742-6
ALT28,1742-6
ALTERQ,6020-2
ALTTEN,6020-2
ALUC25,Not mapped
ALY14,13941-0
ALY15,26474-7
ALY16,26474-7
ALY17,731-0
ALY28,731-0
ALYA14,732-8
ALYA23,26474-7
ALYC24,26474-7
ALYC25,26474-7
ALYM17,26474-7
ALYM18,26478-8
ALYM21,26474-7
ALYM24,26474-7
ALYM25,26474-7
ALYM26,26474-7
ALYM28,26474-7
ALYMP3,26474-7
ALYMPH,26474-7
ALYP23,26478-8
AMA,5247-2
AMANTQ,3317-5
AMC24,742-7
AMC25,26484-6
AMDF18,Not mapped
AMET14,30433-7
AMET25,30433-7
AMETA,30433-7
AMETA3,30433-7
AMETHQ,19261-7
AMETQ,19261-7
AMID,3330-8
AMIDQ,3330-8
AMITQ,3333-2
AMITRQ,3334-0
AMITTQ,3334-0
AMKCNP,3319-1
AMKCNR,3320-9
AMKCNT,3321-7
AMKQ,3320-9
AMKTQ,3321-7
AML15,1798-8
AML16,1798-8
AMM18,16362-6
AMMO14,16362-6
AMMO17,16362-6
AMMO24,16362-6
AMMO25,16362-6
AMMO26,16362-6
AMMO27,16362-6
AMMO28,16362-6
AMMON,16362-6
AMMON3,16362-6
AMMONQ,Not mapped
AMO14,26485-3
AMO15,26484-6
AMO16,26484-6
AMO17,26484-6
AMO28,26484-6
AMOA14,26484-6
AMOA23,26484-6
AMON15,16362-6
AMON16,16362-6
AMON17,26484-6
AMON18,26485-3
AMON21,26484-6
AMON23,16362-6
AMON24,26484-6
AMON25,26484-6
AMON26,26484-6
AMON28,26484-6
AMONO,26484-6
AMONO3,26484-6
AMOP23,26485-3
AMOR25,8246-1
AMOR26,8246-1
AMOR28,8246-1
AMORP,8246-1
AMORPH,8246-1
AMP,Not mapped
AMP17,19261-7
AMP1Q,19261-7
AMP23,19261-7
AMP28,19261-7
AMPABC,35142-9
AMPBQ,Not mapped
AMPCC,Not mapped
AMPH25,19261-7
AMPH28,19261-7
AMPH3,19261-7
AMPHOSU,8246-1
AMPHRU,8246-1
AMPHT,19261-7
AMPHTQ,19261-7
AMPHTR,33422-7
AMPLQ,1796-2
AMPNQ,1797-0
AMPQ,19261-7
AMT15,Not mapped
AMTR,Not mapped
AMY,1798-8
AMY14,1798-8
AMY23,1798-8
AMY3,1798-8
AMYBFT,1795-4
AMYE25,30446-9
AMYEL3,30446-9
AMYELO,30446-9
AMYL14,30446-9
AMYL17,1798-8
AMYL18,1798-8
AMYL24,1798-8
AMYL25,1798-8
AMYL26,1798-8
AMYL27,1798-8
AMYL28,1798-8
ANA,42254-3
ANA24,Not mapped
ANA25,5048-4
ANABU,33915-0
ANAC1Q,42254-3
ANACOQ,8251-1
ANACQ,42254-3
ANAI,5048-4
ANAINT,Not mapped
ANAP,13068-2
ANAP24,13068-2
ANAPQ,13068-2
ANARQ,8061-4
ANAT,5048-4
ANAT24,5048-4
ANATIT,5048-4
ANATQ,5048-4
ANBQ,Not mapped
ANC24,751-8
ANC25,751-8
ANCA,17351-8
ANCL1Q,15550-7
ANCQ,17351-8
ANDOQ,1854-9
ANDRSD,1854-9
ANE14,770-8
ANE15,751-8
ANE16,30451-9
ANEA14,751-8
ANEA23,751-8
ANEP23,26505-8
ANEU18,770-8
ANEU24,751-8
ANEU26,751-8
ANEU28,751-8
ANEUT3,751-8
ANGR,5051-8
ANIG23,33037-3
ANION,33037-3
ANIS,702-1
ANISO,702-1
ANITP,Not mapped
ANNA1,24400-4
ANNA2,43188-2
ANNA3,33924-2
ANNAC1,24400-4
ANNAC2,24401-2
ANNAC3,35144-5
ANNAS,Not mapped
ANNT,Not mapped
ANNWB,Not mapped
ANPHQ,Not mapped
ANRAT,Not mapped
ANRB25,19048-8
ANSCQ,Not mapped
ANSRN,26599-1
ANTIMQ,38476-8
ANTI-XA,3274-8
ANTYP,Not mapped
ANXA25,3274-8
AO2IST,11556-8
AOPIQ,3879-4
AOT14,729-4
AOTHER,729-4
APAP24,3299-5
APAP28,3299-5
APATHQ,Not mapped
APCR,13590-5
APCR25,Not mapped
APCRQ,13590-5
APHEQ,14310-7
APHGQ,Not mapped
APHIST, 2744-1  
APHMQ,Not mapped
APHYWB,Not mapped
APIGAQ,13069-0
